surface_id,name,file,city,state,website,phone,featured,verifiedListing,placeholderWebsite,placeholderPhone
CLINIC-RECORD-1189,"Crescent City Wellness & Peptide Therapy",src/content/clinics/crescent-city-wellness-new-orleans.mdx,"New Orleans","LA",https://example.com/crescent-city-wellness,(555) 504-8834,false,true,true,false
CLINIC-RECORD-1190,"Derby City Wellness Solutions",src/content/clinics/derby-city-wellness-louisville.mdx,"Louisville","KY",https://example.com/derby-city-wellness,(555) 502-7789,false,true,true,false
CLINIC-RECORD-1191,"Desert Peak Wellness Institute",src/content/clinics/desert-peak-wellness-phoenix.mdx,"Phoenix","AZ",https://example.com/desert-peak-wellness,(555) 602-3491,false,true,true,false
CLINIC-RECORD-1192,"Desert Vitality Clinic",src/content/clinics/desert-vitality-las-vegas.mdx,"Las Vegas","NV",https://example.com/desert-vitality,(555) 702-8833,false,true,true,false
CLINIC-RECORD-1193,"Elite Wellness & Longevity Center",src/content/clinics/elite-wellness-chicago.mdx,"Chicago","IL",https://example.com/elite-wellness-chicago,(555) 312-4890,false,true,true,false
CLINIC-RECORD-1194,"Frontier Wellness & Peptide Institute",src/content/clinics/frontier-wellness-oklahoma-city.mdx,"Oklahoma City","OK",https://example.com/frontier-wellness,(555) 405-6629,false,true,true,false
CLINIC-RECORD-1195,"Gateway Wellness & Performance",src/content/clinics/gateway-wellness-st-louis.mdx,"St. Louis","MO",https://example.com/gateway-wellness,(555) 314-8821,false,true,true,false
CLINIC-RECORD-1196,"Gold Coast Wellness & Peptide Therapy",src/content/clinics/gold-coast-wellness-fort-lauderdale.mdx,"Fort Lauderdale","FL",https://example.com/gold-coast-wellness,(555) 954-6627,false,true,true,false
CLINIC-RECORD-1197,"Gulf Coast Longevity Institute",src/content/clinics/gulf-coast-longevity-tampa.mdx,"Tampa","FL",https://example.com/gulf-coast-longevity,(555) 813-9924,false,true,true,false
CLINIC-RECORD-1198,"Heartland Peptide & Longevity",src/content/clinics/heartland-peptide-kansas-city.mdx,"Kansas City","MO",https://example.com/heartland-peptide,(555) 816-3348,false,true,true,false
CLINIC-RECORD-1199,"High Desert Wellness Center",src/content/clinics/high-desert-wellness-albuquerque.mdx,"Albuquerque","NM",https://example.com/high-desert-wellness,(555) 505-4423,false,true,true,false
CLINIC-RECORD-1200,"Keystone Regenerative Medicine",src/content/clinics/keystone-regenerative-philadelphia.mdx,"Philadelphia","PA",https://example.com/keystone-regenerative,(555) 215-7623,false,true,true,false
CLINIC-RECORD-1201,"Lone Star Peptide Therapy",src/content/clinics/lone-star-peptide-dallas.mdx,"Dallas","TX",https://example.com/lone-star-peptide,(555) 214-5567,false,true,true,false
CLINIC-RECORD-1202,"Manhattan Peptide Clinic",src/content/clinics/manhattan-peptide-clinic.mdx,"New York","New York",https://example.com/manhattan-peptide,(212) 555-0600,false,true,true,true
CLINIC-RECORD-1203,"Midwest Longevity Institute",src/content/clinics/midwest-longevity-omaha.mdx,"Omaha","NE",https://example.com/midwest-longevity,(555) 402-6638,false,true,true,false
CLINIC-RECORD-1204,"Midwest Performance & Recovery",src/content/clinics/midwest-performance-indianapolis.mdx,"Indianapolis","IN",https://example.com/midwest-performance,(555) 317-6634,false,true,true,false
CLINIC-RECORD-1205,"Motor City Regenerative Medicine",src/content/clinics/motor-city-regenerative-detroit.mdx,"Detroit","MI",https://example.com/motor-city-regenerative,(555) 313-8824,false,true,true,false
CLINIC-RECORD-1206,"Music City Wellness & Regeneration",src/content/clinics/music-city-wellness-nashville.mdx,"Nashville","TN",https://example.com/music-city-wellness,(555) 615-4478,false,true,true,false
CLINIC-RECORD-1207,"North Coast Peptide & Wellness",src/content/clinics/north-coast-peptide-cleveland.mdx,"Cleveland","OH",https://example.com/north-coast-peptide,(555) 216-7792,false,true,true,false
CLINIC-RECORD-1208,"Northwest Peptide & Wellness",src/content/clinics/northwest-peptide-seattle.mdx,"Seattle","Washington",https://example.com/northwest-peptide,(206) 555-0900,false,false,true,true
CLINIC-RECORD-1209,"Optimal Performance Medicine",src/content/clinics/optimal-performance-austin.mdx,"Austin","Texas",https://example.com/optimal-performance,(512) 555-0400,false,true,true,true
CLINIC-RECORD-1210,"Pacific Integrative Wellness",src/content/clinics/pacific-wellness-sf.mdx,"San Francisco","California",https://example.com/pacific-wellness,(415) 555-0700,false,false,true,true
CLINIC-RECORD-1211,"Peachtree Wellness & Longevity",src/content/clinics/peachtree-wellness-atlanta.mdx,"Atlanta","Georgia",https://example.com/peachtree-wellness,(404) 555-1000,false,true,true,true
CLINIC-RECORD-1212,"Pikes Peak Wellness & Performance",src/content/clinics/pikes-peak-wellness-colorado-springs.mdx,"Colorado Springs","CO",https://example.com/pikes-peak-wellness,(555) 719-3381,false,true,true,false
CLINIC-RECORD-1213,"Potomac Peptide & Longevity Center",src/content/clinics/potomac-peptide-washington-dc.mdx,"Washington","DC",https://example.com/potomac-peptide,(555) 202-5543,false,true,true,false
CLINIC-RECORD-1214,"Prime Wellness Scottsdale",src/content/clinics/prime-wellness-scottsdale.mdx,"Scottsdale","Arizona",https://example.com/prime-wellness,(480) 555-0300,true,true,true,true
CLINIC-RECORD-1215,"Queen City Peptide Institute",src/content/clinics/queen-city-peptide-charlotte.mdx,"Charlotte","NC",https://example.com/queen-city-peptide,(555) 704-9912,false,true,true,false
CLINIC-RECORD-1216,"Queen City Wellness Solutions",src/content/clinics/queen-city-wellness-cincinnati.mdx,"Cincinnati","OH",https://example.com/queen-city-wellness-cincy,(555) 513-4429,false,true,true,false
CLINIC-RECORD-1217,"Regenerative Health Institute",src/content/clinics/regenerative-health-la.mdx,"Los Angeles","California",https://example.com/regenerative-health,(310) 555-0200,true,true,true,true
CLINIC-RECORD-1218,"Research Triangle Peptide Clinic",src/content/clinics/research-triangle-peptide-raleigh.mdx,"Raleigh","NC",https://example.com/research-triangle-peptide,(555) 919-8876,false,true,true,false
CLINIC-RECORD-1219,"Silicon Valley Health Optimization",src/content/clinics/silicon-valley-health-san-jose.mdx,"San Jose","CA",https://example.com/sv-health-optimization,(555) 408-2293,false,true,true,false
CLINIC-RECORD-1220,"Sonoran Health & Peptide Center",src/content/clinics/sonoran-health-tucson.mdx,"Tucson","AZ",https://example.com/sonoran-health,(555) 520-4467,false,true,true,false
CLINIC-RECORD-1221,"Steel City Regenerative Medicine",src/content/clinics/steel-city-regenerative-pittsburgh.mdx,"Pittsburgh","PA",https://example.com/steel-city-regenerative,(555) 412-6695,false,true,true,false
CLINIC-RECORD-1222,"Sunshine Health & Peptide Institute",src/content/clinics/sunshine-health-orlando.mdx,"Orlando","FL",https://example.com/sunshine-health-peptide,(555) 407-2276,false,true,true,false
CLINIC-RECORD-1223,"Texas Metabolic Institute",src/content/clinics/texas-metabolic-houston.mdx,"Houston","Texas",https://example.com/texas-metabolic,(713) 555-0800,false,true,true,true
CLINIC-RECORD-1224,"Treasure Valley Peptide Institute",src/content/clinics/treasure-valley-peptide-boise.mdx,"Boise","ID",https://example.com/treasure-valley-peptide,(555) 208-7734,false,true,true,false
CLINIC-RECORD-1225,"Twin Cities Peptide & Performance",src/content/clinics/twin-cities-peptide-minneapolis.mdx,"Minneapolis","MN",https://example.com/twin-cities-peptide,(555) 612-4403,false,true,true,false
CLINIC-RECORD-1226,"Vitality Wellness Center",src/content/clinics/vitality-wellness-miami.mdx,"Miami","Florida",https://example.com/vitality-wellness,(305) 555-0100,true,true,true,true
CLINIC-RECORD-1227,"Wasatch Wellness & Peptide Center",src/content/clinics/wasatch-wellness-salt-lake-city.mdx,"Salt Lake City","UT",https://example.com/wasatch-wellness,(555) 801-7712,false,true,true,false
