slug,title,publishDate,lastUpdated,wordCount,citationCount,internalLinksOutDossiers,internalLinksOutBlogs,internalLinksOutTotal,appRelatedLinks,inboundInternalLinks,metaTitleLength,metaDescriptionLength,hasStaleFigureRisk,staleFigureDetail,intent,gscImpressions,gscClicks,gscPosition,priorityScore,verdict,notes
orforglipron-attain-1-results,Orforglipron ATTAIN-1: Oral GLP-1 Achieves 11.2% Weight Loss,2025-08-20,,1142,4,2,0,5,0,0,48,156,N,,research,51,0,11.6,102,optimize,"51 impressions, has a foothold; no lastUpdated"
generic-saxenda-fda-approval,Generic Saxenda FDA Approval: First Generic GLP-1 for Weight Loss,2025-06-16,,996,4,2,0,5,0,0,45,127,N,,news,97,0,24.7,97,optimize,"97 impressions, has a foothold; 14mo old + ""ongoing/expected"" language; no lastUpdated"
what-is-tesamorelin,What is Tesamorelin?,2025-06-06,2025-06-06,160,3,1,0,4,0,0,20,100,N,,commercial,21,0,8.9,82,optimize,"21 impressions, has a foothold"
ghkcu-stem-cell-differentiation,Research Shows GHK-Cu Promotes Stem Cell Differentiation in Wound Healing Model,2025-11-12,,591,3,1,0,4,0,0,47,140,N,,news,30,0,11.9,78,optimize,"30 impressions, has a foothold; no lastUpdated"
what-is-tb-500,What is TB-500?,2025-08-25,2025-08-25,162,3,1,0,4,0,0,15,99,N,,commercial,28,0,17.6,73,optimize,"28 impressions, has a foothold"
glp1-safety-overview,GLP-1 Agonist Safety Overview,2025-10-29,2025-10-29,1420,3,2,0,5,0,1,47,156,N,,educational,23,0,16.0,46,optimize,"23 impressions, has a foothold; 10mo old + ""ongoing/expected"" language"
what-is-ghk-cu,What is GHK-Cu?,2025-11-21,2025-11-21,173,3,1,0,3,0,0,32,90,N,,commercial,114,0,42.1,44,refresh,114 impressions but p42.1 - needs depth to compete
what-is-cjc-1295,What is CJC-1295?,2025-07-25,2025-07-25,270,3,1,0,3,0,0,41,143,N,,commercial,15,0,20.0,39,keep,"no demand signal yet, content bar met"
what-is-ipamorelin,What is Ipamorelin?,2025-10-08,2025-10-08,153,3,1,0,4,0,0,45,142,N,,commercial,10,0,7.2,39,keep,"no demand signal yet, content bar met"
peptide-evidence-levels-explained,Peptide Evidence Levels Explained,2025-07-19,2025-07-19,289,3,0,0,3,0,0,44,147,N,,commercial,9,0,6.5,35,keep,"no demand signal yet, content bar met; links to no dossier"
pemvidutide-eu-mash-approval,Pemvidutide in MASH — What the IMPACT Phase 2b Trial Actually Showed,2025-09-12,,620,2,4,0,8,0,0,45,153,N,,news,7,0,5.7,33,keep,"no demand signal yet, content bar met; no lastUpdated"
amycretin-phase2-results,Amycretin Dual-Agonist Peptide Reports Positive Early-Phase Weight Loss Data,2025-11-17,,730,1,3,0,7,0,0,58,154,N,,news,10,0,13.5,31,refresh,"only 1 source - below the 2-4 citation bar; 9mo old + ""ongoing/expected"" language; no lastUpdated"
what-is-rybelsus,What is Rybelsus?,2025-08-15,2025-08-15,304,3,1,0,3,0,0,44,142,N,,commercial,16,0,32.1,21,keep,"no demand signal yet, content bar met"
wegovy-pill-launches-us,Wegovy Pill Launches in US: First Oral GLP-1 for Weight Loss at $149/Month,2025-11-15,,1046,4,2,0,5,0,0,44,144,N,,news,6,0,4.0,18,keep,"no demand signal yet, content bar met; no lastUpdated"
what-is-ozempic,What is Ozempic?,2025-06-14,2025-06-14,275,3,1,0,4,0,0,41,134,N,,commercial,4,0,1.0,16,keep,"no demand signal yet, content bar met"
aod9604-human-efficacy,AOD-9604: No Published Human Evidence of Meaningful Fat Loss,2025-12-17,,655,2,1,0,4,0,0,47,142,N,,news,3,0,8.7,14,keep,"no demand signal yet, content bar met; no lastUpdated"
peptide-hydrogel-joints,"Peptide Hydrogels for Joints: Preclinical Promise, No Human Data",2025-10-10,,463,1,2,0,5,0,0,52,148,N,,news,3,0,3.0,14,refresh,only 1 source - below the 2-4 citation bar; no lastUpdated
what-is-zepbound,What is Zepbound?,2025-07-07,2025-07-07,415,3,1,0,5,0,0,45,135,N,,commercial,31,0,58.5,12,optimize,"31 impressions, has a foothold"
tirzepatide-10-year-cvd-risk-analysis,Tirzepatide Shows Promising 10-Year Cardiovascular Risk Reduction in SURMOUNT-5 Post-Hoc Analysis,2025-09-17,,920,3,2,0,5,0,0,48,136,N,,research,2,0,4.0,6,keep,"no demand signal yet, content bar met; 11mo old + ""ongoing/expected"" language; no lastUpdated"
amgen-maritide-phase2,Amgen's Maritide Shows Promising Phase 2 Weight Loss Data,2025-08-18,,772,2,4,0,9,0,0,50,140,N,,news,0,0,,0,refresh,"12mo old, zero impressions; no lastUpdated"
antimicrobial-peptide-funding,Why Antimicrobial Peptides Are Attracting Investment Again,2025-09-03,,644,1,4,0,7,0,0,58,144,N,,news,0,0,,0,refresh,only 1 source - below the 2-4 citation bar; no lastUpdated
antimicrobial-peptides-cancer-potential,Antimicrobial Peptides Show Cancer-Fighting Potential: A Deep Dive into Early Research,2025-09-05,,928,3,2,0,4,0,0,47,145,N,,research,0,0,,0,refresh,"11mo old, zero impressions; 11mo old + ""ongoing/expected"" language; no lastUpdated"
aod-9604-safety,AOD-9604 Safety Information,2025-07-16,2025-07-16,176,3,1,0,3,0,0,49,144,N,,educational,0,0,,0,retire-301,"176w, zero impressions in 177 days"
are-peptides-safe,Are Peptides Safe?,2025-07-23,2025-07-23,319,3,0,0,3,0,0,42,159,N,,commercial,0,0,,0,retire-301,"319w, zero impressions in 177 days; links to no dossier"
best-peptide-for-weight-loss-2026,Best Peptides for Weight Loss in 2026: Evidence-Based Rankings,2026-02-18,2026-02-18,1674,6,5,0,9,0,0,53,140,N,"CLEARED - line 170 labels 22.7% as trial-product estimand, leads with 20.4%",commercial,0,0,,0,keep,"no demand signal yet, content bar met"
bpc-157-first-human-safety-data,BPC-157 IV Pilot Study: First Human Safety Data Emerges,2025-09-03,,924,3,1,0,3,0,0,51,130,N,,research,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
bpc-157-systematic-review-musculoskeletal,BPC-157 Systematic Review: Examining the Musculoskeletal Evidence,2025-09-01,,1238,4,2,0,5,0,0,46,139,N,,research,0,0,,0,refresh,"12mo old, zero impressions; no lastUpdated"
bpc157-gut-brain-axis,BPC-157 and the Gut-Brain Axis: What the Review Literature Claims,2025-10-24,,918,3,3,0,6,0,0,58,143,N,,news,0,0,,0,refresh,"10mo old, zero impressions; 10mo old + ""ongoing/expected"" language; no lastUpdated"
cagrilintide-redefine-1-amylin-validated,Cagrilintide REDEFINE-1: Amylin Monotherapy Validated for Obesity Treatment,2025-09-12,,924,3,2,0,5,0,0,50,143,N,,research,0,0,,0,refresh,"11mo old, zero impressions; 11mo old + ""ongoing/expected"" language; no lastUpdated"
cagrisema-nda-filed,CagriSema NDA Filed with FDA for Obesity Treatment,2025-12-18,,1246,3,3,0,6,0,0,47,152,WATCH,"CLEARED - line 94 labels 22.7% trial-product; line 108 table row is labelled ""(trial product)"" | table row carries the estimand without the prose caveat",news,0,0,,0,keep,"no demand signal yet, content bar met; 8mo old + ""ongoing/expected"" language; no lastUpdated"
cagrisema-phase3-endpoint,CagriSema Phase 3 REDEFINE 2 Trial Achieves Primary Endpoint in Type 2 Diabetes,2025-08-11,,744,2,3,0,8,0,0,58,152,N,CLEARED - line 60 labels 15.7% as trial-product vs 13.7% treatment-policy (REDEFINE-2),news,0,0,,0,refresh,"12mo old, zero impressions; 12mo old + ""ongoing/expected"" language; no lastUpdated"
cancer-peptide-vaccine-breakthrough,"The Neoantigen Vaccine With FDA Breakthrough Status Is mRNA, Not Peptide",2025-11-07,,634,3,0,0,3,0,0,55,148,N,,news,0,0,,0,refresh,"9mo old, zero impressions; links to no dossier; 9mo old + ""ongoing/expected"" language; no lastUpdated"
cell-penetrating-peptides-cancer-immunotherapy,Cell-Penetrating Peptides in Cancer Immunotherapy,2025-09-19,,1091,5,1,0,4,0,0,50,137,N,,research,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
dihexa-memory-enhancement,What the Dihexa Memory Research Actually Shows — and What Was Retracted,2025-11-28,,799,3,1,0,4,0,0,42,139,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
epithalon-telomerase-human-cells,Study Shows Epithalon Telomerase Activation in Human Cells,2025-10-15,,908,2,3,0,6,0,0,45,153,N,,news,0,0,,0,refresh,"10mo old, zero impressions; no lastUpdated"
fda-compounded-semaglutide-warning,FDA Issues Warning on Quality Concerns with Compounded Semaglutide Products,2025-08-13,,870,1,3,0,6,0,0,50,147,N,,news,0,0,,0,refresh,"only 1 source - below the 2-4 citation bar; 12mo old + ""ongoing/expected"" language; no lastUpdated"
fda-peptide-stability-guidance,FDA Issues Draft Guidance for Peptide Stability Testing,2026-01-07,,707,3,2,0,5,0,0,45,145,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
fda-semaglutide-shortage-extended,FDA Extends Semaglutide Shortage Designation Amid Persistent Demand,2025-09-01,,698,3,3,0,7,0,0,43,147,N,,news,0,0,,0,refresh,"12mo old, zero impressions; 12mo old + ""ongoing/expected"" language; no lastUpdated"
fda-tightens-peptide-compounding-rules,FDA Tightens Peptide Compounding Rules: BPC-157 and TB-500 Impacted,2025-07-12,,1106,3,2,0,5,0,0,49,134,N,,news,0,0,,0,refresh,"13mo old, zero impressions; 13mo old + ""ongoing/expected"" language; no lastUpdated"
flow-trial-semaglutide-kidney-protection,"FLOW Trial Landmark: Semaglutide Kidney Protection, Stopped Early",2025-06-28,,1137,4,2,0,5,0,0,47,140,N,,research,0,0,,0,refresh,"14mo old, zero impressions; no lastUpdated"
glp1-alcohol-cravings-research,New Research Links GLP-1 Agonists to Reduced Alcohol Cravings,2025-08-15,,725,3,3,0,7,0,0,46,135,N,,news,0,0,,0,refresh,"12mo old, zero impressions; 12mo old + ""ongoing/expected"" language; no lastUpdated"
glp1-dementia-risk-study,GLP-1 Agonists Linked to Reduced Dementia Risk in Large Observational Study,2025-09-17,,775,3,3,0,7,0,0,48,137,N,,news,0,0,,0,refresh,"11mo old, zero impressions; 11mo old + ""ongoing/expected"" language; no lastUpdated"
glp1-kidney-disease-outcomes,Study Links GLP-1s to Improved Outcomes in Kidney Disease,2025-10-29,,1000,3,3,0,6,0,0,48,159,N,"CLEARED - 12.4% is macroalbuminuria progression, unrelated to ATTAIN-1",news,0,0,,0,refresh,"10mo old, zero impressions; 10mo old + ""ongoing/expected"" language; no lastUpdated"
glp1-kidney-protection-confirmed,GLP-1 Kidney Protection Confirmed: Meta-Analysis Shows 21% Reduction in Renal Events,2025-07-18,,766,3,3,0,6,0,0,47,153,N,,research,0,0,,0,refresh,"13mo old, zero impressions; 13mo old + ""ongoing/expected"" language; no lastUpdated"
glp1-response-biomarkers,What Predicts GLP-1 Response? The State of the Biomarker Evidence,2025-10-08,,604,2,3,0,6,0,0,51,154,N,,news,0,0,,0,refresh,"10mo old, zero impressions; no lastUpdated"
glp1-shortage-easing,GLP-1 Shortages Declared Resolved as Manufacturing Capacity Expands,2025-11-24,,696,3,3,0,6,0,0,43,143,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; 9mo old + ""ongoing/expected"" language; no lastUpdated"
glp1-telehealth-access,GLP-1 Agonist Access Expanding Through Telehealth Platforms,2026-01-23,,829,2,3,0,6,0,0,50,145,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
growth-hormone-peptides-safety,Growth Hormone Peptide Safety,2025-08-23,2025-08-23,178,3,4,0,7,0,0,47,133,N,,educational,0,0,,0,retire-301,"178w, zero impressions in 177 days"
heat-stable-peptide-delivery,Cold Chain and Peptide Drugs — Where Thermostabilisation Research Stands,2025-09-19,,700,3,3,0,6,0,0,54,149,N,,news,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
how-do-glp-1-agonists-work,How Do GLP-1 Agonists Work?,2025-07-28,2025-07-28,297,3,2,0,5,0,0,44,142,N,,commercial,0,0,,0,retire-301,"297w, zero impressions in 177 days"
how-do-peptides-work,How Do Peptides Work?,2025-10-24,2025-10-24,463,3,0,0,4,0,0,33,156,N,,commercial,0,0,,0,retire-301,"463w, zero impressions in 177 days; links to no dossier"
how-to-read-peptide-research,How to Read Peptide Research,2025-08-30,2025-08-30,297,3,0,0,3,1,0,45,132,N,,commercial,0,0,,0,retire-301,"297w, zero impressions in 177 days; links to no dossier"
humanin-neuroprotective-trial,Humanin and the Mitochondrial-Derived Peptides: Where the Evidence Stands,2025-11-21,,490,2,2,0,5,0,0,51,152,N,,news,0,0,,0,retire-301,"490w, zero impressions in 177 days; no lastUpdated"
is-bpc-157-safe,Is BPC-157 Safe? What the Evidence Actually Shows,2026-02-18,2026-02-18,1194,5,1,0,1,0,0,37,160,N,,educational,0,0,,0,keep,"no demand signal yet, content bar met"
lilly-manufacturing-expansion,Inside Eli Lilly's Peptide and API Manufacturing Build-Out,2025-11-03,,882,3,3,0,6,0,0,49,151,N,,news,0,0,,0,refresh,"9mo old, zero impressions; 9mo old + ""ongoing/expected"" language; no lastUpdated"
lilly-q2-tirzepatide-revenue,Eli Lilly Reports Record Q2 Revenue Surge Driven by Tirzepatide Demand,2025-08-06,,647,1,3,0,7,0,0,51,156,N,,news,0,0,,0,refresh,only 1 source - below the 2-4 citation bar; no lastUpdated
melanotan-safety,Melanotan II Safety Warning,2025-09-20,2025-09-20,182,4,1,0,3,0,0,28,108,N,,educational,0,0,,0,retire-301,"182w, zero impressions in 177 days"
microneedle-peptide-delivery,Microneedle Patches for Peptide Delivery — What Has Reached the Clinic,2025-12-26,,604,3,2,0,5,0,0,51,149,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
motsc-human-trials,MOTS-c Enters a Registered Human Trial,2025-10-03,,927,4,3,0,6,0,0,47,135,N,,news,0,0,,0,refresh,"10mo old, zero impressions; 10mo old + ""ongoing/expected"" language; no lastUpdated"
natriuretic-peptide-heart-failure,Designer Natriuretic Peptides for Heart Failure — Where the Field Stands,2025-12-24,,598,3,1,0,4,0,0,51,161,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
new-gh-secretagogue-safety,Growth Hormone Secretagogues — Why Selectivity Is Still the Problem,2026-01-31,,661,3,5,0,9,0,0,51,147,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
novo-manufacturing-expansion,Novo Nordisk Expands Peptide Manufacturing Capacity with $4.1B Investment,2025-09-08,,715,3,3,0,7,0,0,44,140,N,,news,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
oral-bpc157-formulation,Oral BPC-157 — The Formulation Problem and the State of Development,2025-08-08,,580,3,2,0,6,0,0,50,150,N,,news,0,0,,0,refresh,"12mo old, zero impressions; no lastUpdated"
oral-semaglutide-25mg-approval,"FDA Approves Oral Semaglutide 25 mg — for Weight Management, Not Diabetes",2025-12-22,,621,3,2,0,5,0,0,47,154,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
oral-semaglutide-cv-approval,Oral Semaglutide Approved for Cardiovascular Risk Reduction: Rybelsus Gains New Indication,2025-06-25,,894,3,1,0,4,0,0,46,147,N,,news,0,0,,0,refresh,"14mo old, zero impressions; 14mo old + ""ongoing/expected"" language; no lastUpdated"
orforglipron-14-percent-weight-loss,Orforglipron Oral GLP-1 Shows 11.2% Weight Loss in ATTAIN-1,2026-01-12,,721,3,3,0,7,0,0,52,146,N,"CLEARED - line 73 leads NEJM 11.2%, labels 12.4% as press-release efficacy estimand",news,0,0,,0,keep,"no demand signal yet, content bar met; 7mo old + ""ongoing/expected"" language; no lastUpdated"
orforglipron-phase3-advance,Orforglipron's Phase 3 Programme — What Is Actually Running,2025-08-25,,565,3,3,0,8,0,0,45,149,N,,news,0,0,,0,refresh,"12mo old, zero impressions; no lastUpdated"
oxytocin-autism-meta-analysis-optimal-dosing,Oxytocin Optimal Dosing for Autism: Meta-Analysis Examines Social Behavior Effects,2025-09-13,,1163,4,1,0,4,0,0,50,158,N,,research,0,0,,0,refresh,"11mo old, zero impressions; 11mo old + ""ongoing/expected"" language; no lastUpdated"
pemvidutide-breakthrough-designation-mash,Pemvidutide Breakthrough Designation for MASH,2025-09-27,,1027,4,3,0,6,0,0,44,153,N,,news,0,0,,0,refresh,"11mo old, zero impressions; 11mo old + ""ongoing/expected"" language; no lastUpdated"
pemvidutide-crl-more-data,"Pemvidutide's Regulatory Path — Designations, Not Approvals",2025-10-22,,584,3,3,0,6,0,0,50,155,N,,news,0,0,,0,refresh,"10mo old, zero impressions; no lastUpdated"
pentapeptide-hair-follicle,Peptides and Hair Follicle Regeneration — The Preclinical Picture,2026-01-21,,634,3,2,0,5,0,0,47,157,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
peptide-antibiotic-resistant-bacteria,Antimicrobial Peptides Against Multi-Drug Resistant Bacteria,2025-12-19,,629,4,1,0,4,0,0,52,158,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
peptide-biosensor-pathogen,Antimicrobial Peptides as Biosensor Recognition Elements,2026-01-29,,819,1,3,0,6,0,0,53,147,N,,news,0,0,,0,refresh,"only 1 source - below the 2-4 citation bar; 7mo old + ""ongoing/expected"" language; no lastUpdated"
peptide-cart-tumor-penetration,Tumor-Penetrating Peptides and CAR-T: A Preclinical Idea,2025-11-26,,672,1,0,0,3,0,0,52,154,N,,news,0,0,,0,refresh,"only 1 source - below the 2-4 citation bar; links to no dossier; 9mo old + ""ongoing/expected"" language; no lastUpdated"
peptide-clinical-trial-phases,Peptide Clinical Trial Phases,2025-10-10,2025-10-10,377,3,0,0,2,0,0,45,157,N,,commercial,0,0,,0,retire-301,"377w, zero impressions in 177 days; links to no dossier; 10mo old + ""ongoing/expected"" language"
peptide-drug-conjugate-solid-tumors,Peptide-Drug Conjugates vs Antibody-Drug Conjugates in Solid Tumors,2026-01-16,,644,1,2,0,5,0,0,42,126,N,,news,0,0,,0,refresh,"only 1 source - below the 2-4 citation bar; 7mo old + ""ongoing/expected"" language; no lastUpdated"
peptide-drug-conjugates-cbx-12-oncology,Peptide-Drug Conjugates Advance in Oncology (CBX-12 Phase II),2025-11-03,,1087,4,0,0,3,0,0,48,142,N,,research,0,0,,0,refresh,"9mo old, zero impressions; links to no dossier; no lastUpdated"
peptide-migraine-nasal-spray,Intranasal CGRP Blockade for Migraine: What Is Actually Approved,2025-10-17,,500,2,1,0,4,0,0,55,153,N,,news,0,0,,0,refresh,"10mo old, zero impressions; no lastUpdated"
peptide-stapling-oral-delivery,Peptide Stapling and Oral Delivery: The Open Problem,2025-12-10,,622,1,0,0,3,0,0,50,141,N,,news,0,0,,0,refresh,only 1 source - below the 2-4 citation bar; links to no dossier; no lastUpdated
peptide-vs-protein,Peptide vs Protein: What's the Difference?,2025-08-18,2025-08-18,470,3,0,0,4,0,0,42,121,N,,commercial,0,0,,0,retire-301,"470w, zero impressions in 177 days; links to no dossier"
pt-141-safety,PT-141 (Vyleesi) Safety Profile,2025-08-13,2025-08-13,149,3,1,0,3,0,0,46,133,N,,educational,0,0,,0,retire-301,"149w, zero impressions in 177 days"
recovery-peptides-safety,"Recovery Peptide Safety (BPC-157, TB-500)",2025-06-02,2025-06-02,192,4,2,0,4,0,0,40,151,N,,educational,0,0,,0,retire-301,"192w, zero impressions in 177 days"
retatrutide-direct-comparison,Retatrutide vs Tirzepatide: The Head-to-Head Trial Has Not Reported,2025-10-20,,547,3,3,0,6,0,0,51,145,N,,news,0,0,,0,refresh,"10mo old, zero impressions; no lastUpdated"
retatrutide-phase-3-results-2026,Retatrutide Phase 3 Results: What the TRIUMPH Program Data Shows,2026-02-18,2026-02-18,1295,6,3,0,7,0,0,52,155,N,,research,0,0,,0,keep,"no demand signal yet, content bar met"
retatrutide-phase3-triple-agonist,Retatrutide Phase 3 Results Confirm Triple-Agonist Superiority,2026-05-21,,820,3,3,0,8,0,0,42,149,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
retatrutide-triumph-4-weight-loss-pain-relief,Retatrutide TRIUMPH-4: 28.7% Weight Loss Combined with Osteoarthritis Pain Relief,2025-10-03,,1174,4,2,0,6,0,0,42,140,N,,research,0,0,,0,refresh,"10mo old, zero impressions; 10mo old + ""ongoing/expected"" language; no lastUpdated"
selank-anxiolytic-study,Selank Peptide Shows Anxiolytic Effects Comparable to a Benzodiazepine in a Russian Comparative Trial,2025-11-05,,459,1,2,0,5,0,0,49,146,N,,news,0,0,,0,retire-301,"459w, zero impressions in 177 days; no lastUpdated"
semaglutide-fails-alzheimers-evoke-trial,Semaglutide Fails Alzheimer's Trials: EVOKE Program Results Disappoint,2025-08-27,,1146,4,3,0,6,0,0,42,143,N,,research,0,0,,0,refresh,"12mo old, zero impressions; 12mo old + ""ongoing/expected"" language; no lastUpdated"
semaglutide-reduces-alcohol-cravings,Semaglutide Reduces Alcohol Cravings in Phase 2 Trial: New Hope for Alcohol Use Disorder,2025-06-09,,869,3,2,0,4,0,0,45,146,N,,research,0,0,,0,refresh,"14mo old, zero impressions; 14mo old + ""ongoing/expected"" language; no lastUpdated"
semaglutide-safety,Semaglutide Safety Profile,2025-08-02,2025-08-02,248,3,1,0,4,0,0,42,120,N,,educational,0,0,,0,retire-301,"248w, zero impressions in 177 days"
semaglutide-soul-cardiovascular,Oral Semaglutide SOUL Trial Confirms Cardiovascular Benefits in High-Risk Type 2 Diabetes,2025-11-10,,571,3,2,0,5,0,0,53,157,N,,news,0,0,,0,refresh,"9mo old, zero impressions; 9mo old + ""ongoing/expected"" language; no lastUpdated"
surmount-5-tirzepatide-vs-semaglutide,SURMOUNT-5 Results: Tirzepatide Beats Semaglutide by 6.5% in Head-to-Head Weight Loss Trial,2025-09-10,,962,3,2,0,5,0,0,49,148,N,,research,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
survodutide-fda-submission-mash,Survodutide Advances in MASH After Breakthrough Therapy Designation,2026-01-19,,730,3,3,0,7,0,0,57,148,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; 7mo old + ""ongoing/expected"" language; no lastUpdated"
survodutide-phase3-mash,Survodutide in MASH: No Phase 3 Results Yet,2025-09-22,,501,3,3,0,7,0,0,55,141,N,,news,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
tb500-wound-healing-trial,TB-500 and Wound Healing: What the Clinical Trials Actually Found,2025-09-05,,576,2,3,0,7,0,0,53,149,N,,news,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
tesamorelin-liver-fat-hiv,Study Shows Tesamorelin Reduces Liver Fat in Patients with HIV-Associated NAFLD,2025-12-03,,551,1,2,0,6,0,0,48,140,N,,news,0,0,,0,refresh,only 1 source - below the 2-4 citation bar; no lastUpdated
